name,url,uploads,subsribers,views,country,channeltype,facebooklink,twitterlink
The Weeknd,https://socialblade.com/youtube/user/xoxxxoooxo,65.0,14541446.0,694794170.0,CA,music,https://youtube.com/channel/UC0WP5P-ufpRfjbNrmOWwLBQ,https://twitter.com/theweeknd
IISuperwomanII,https://socialblade.com/youtube/c/lillysingh,756.0,14452505.0,2881634276.0,CA,comedy,https://youtube.com/channel/UCfm4y4rHF5HGrSr-qbvOwOg,https://twitter.com/iisuperwomanii
Galinha Pintadinha,https://socialblade.com/youtube/c/galinhapintadinha,47.0,14426158.0,10233780235.0,BR,music,https://youtube.com/channel/UCBAb_DK4GYZqZR9MFA7y2Xg,https://twitter.com/galinhaoficial
ABS-CBN Entertainment,https://socialblade.com/youtube/s/?q=UCstEtN0pgOmCf02EdXsGChw,108005.0,14299844.0,19553946655.0,PH,entertainment,https://youtube.com/channel/UCstEtN0pgOmCf02EdXsGChw,https://twitter.com/abscbndotcom
1theK (원더케이),https://socialblade.com/youtube/c/1-thek,13820.0,14224157.0,11453449164.0,KR,music,https://youtube.com/channel/UCweOkPb1wVVH0Q0Tlj4a5Pw,https://twitter.com/1thek
jbalvinVEVO,https://socialblade.com/youtube/user/jbalvinvevo,131.0,14019115.0,10798966742.0,,music,https://youtube.com/channel/UCrHL_BF5lHyK43BxLU8-vBQ,https://twitter.com/jbalvin
Sia,https://socialblade.com/youtube/c/sia’,60.0,13879969.0,183750174.0,US,music,https://youtube.com/channel/UCN9HPn2fq-NL8M5_kp4RWZQ,https://twitter.com/sia
EnriqueIglesiasVEVO,https://socialblade.com/youtube/user/enriqueiglesiasvevo,131.0,13785087.0,11580248747.0,US,music,https://youtube.com/channel/UCVttQE6tS_agDSAU61Q65aA,https://twitter.com/#!/enrique305
Rclbeauty101,https://socialblade.com/youtube/user/rclbeauty101,398.0,13798447.0,3138595380.0,US,entertainment,https://youtube.com/channel/UCB0d0JLn1WcGYcwwZ87d2LA,https://twitter.com/#!/rclbeauty101/
BeyoncéVEVO,https://socialblade.com/youtube/user/beyoncevevo,131.0,13691978.0,9072709843.0,US,music,https://youtube.com/channel/UC9zX2xZIJ4cnwRsgBpHGvMg,https://twitter.com/beyonce
SAB TV,https://socialblade.com/youtube/s/?q=UC6-F5tO8uklgE9Zy8IvbdFw,20594.0,13908839.0,11482616478.0,IN,entertainment,https://youtube.com/channel/UC6-F5tO8uklgE9Zy8IvbdFw,https://twitter.com/sonyliv
